[2026-04-04 11:47:38] Unknown Attack (Anomaly) | 192.168.1.219 → 10.0.0.27 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:48:44] Unknown Attack (Anomaly) | 192.168.1.115 → 10.0.0.19 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:48:45] Unknown Attack (Anomaly) | 192.168.1.140 → 10.0.0.1 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:48:46] Unknown Attack (Anomaly) | 192.168.1.62 → 10.0.0.35 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:48:48] Unknown Attack (Anomaly) | 192.168.1.133 → 10.0.0.48 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:48:49] Unknown Attack (Anomaly) | 192.168.1.150 → 10.0.0.48 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:48:51] Unknown Attack (Anomaly) | 192.168.1.144 → 10.0.0.42 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:48:52] Unknown Attack (Anomaly) | 192.168.1.239 → 10.0.0.38 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:48:54] Unknown Attack (Anomaly) | 192.168.1.121 → 10.0.0.35 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:48:55] Unknown Attack (Anomaly) | 192.168.1.56 → 10.0.0.5 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:48:56] Unknown Attack (Anomaly) | 192.168.1.32 → 10.0.0.18 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:48:58] Unknown Attack (Anomaly) | 192.168.1.63 → 10.0.0.37 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:48:59] Unknown Attack (Anomaly) | 192.168.1.138 → 10.0.0.11 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:49:00] Unknown Attack (Anomaly) | 192.168.1.63 → 10.0.0.34 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:49:01] Unknown Attack (Anomaly) | 192.168.1.144 → 10.0.0.4 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:49:02] Unknown Attack (Anomaly) | 192.168.1.14 → 10.0.0.49 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:49:04] Unknown Attack (Anomaly) | 192.168.1.20 → 10.0.0.33 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:49:05] Unknown Attack (Anomaly) | 192.168.1.43 → 10.0.0.46 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:49:06] Unknown Attack (Anomaly) | 192.168.1.242 → 10.0.0.37 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:49:07] Unknown Attack (Anomaly) | 192.168.1.141 → 10.0.0.28 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:49:09] Unknown Attack (Anomaly) | 192.168.1.159 → 10.0.0.12 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:49:10] Unknown Attack (Anomaly) | 192.168.1.177 → 10.0.0.50 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:49:11] Unknown Attack (Anomaly) | 192.168.1.197 → 10.0.0.43 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:49:13] Unknown Attack (Anomaly) | 192.168.1.23 → 10.0.0.31 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:49:14] Unknown Attack (Anomaly) | 192.168.1.251 → 10.0.0.10 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:49:15] Unknown Attack (Anomaly) | 192.168.1.133 → 10.0.0.43 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:49:16] Unknown Attack (Anomaly) | 192.168.1.44 → 10.0.0.20 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:49:17] Unknown Attack (Anomaly) | 192.168.1.35 → 10.0.0.39 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:49:19] Unknown Attack (Anomaly) | 192.168.1.95 → 10.0.0.6 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:49:20] Unknown Attack (Anomaly) | 192.168.1.207 → 10.0.0.8 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:49:21] Unknown Attack (Anomaly) | 192.168.1.177 → 10.0.0.27 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:49:22] Unknown Attack (Anomaly) | 192.168.1.79 → 10.0.0.45 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:49:23] Unknown Attack (Anomaly) | 192.168.1.249 → 10.0.0.22 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:49:23] Unknown Attack (Anomaly) | 192.168.1.225 → 10.0.0.8 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:49:24] Unknown Attack (Anomaly) | 192.168.1.235 → 10.0.0.34 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:49:25] Unknown Attack (Anomaly) | 192.168.1.44 → 10.0.0.21 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:49:26] Unknown Attack (Anomaly) | 192.168.1.27 → 10.0.0.49 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:49:27] Unknown Attack (Anomaly) | 192.168.1.183 → 10.0.0.21 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:49:29] Unknown Attack (Anomaly) | 192.168.1.232 → 10.0.0.29 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:49:30] Unknown Attack (Anomaly) | 192.168.1.157 → 10.0.0.27 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:49:31] Unknown Attack (Anomaly) | 192.168.1.119 → 10.0.0.49 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:49:32] Unknown Attack (Anomaly) | 192.168.1.126 → 10.0.0.46 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:49:33] Unknown Attack (Anomaly) | 192.168.1.197 → 10.0.0.46 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:49:34] Unknown Attack (Anomaly) | 192.168.1.132 → 10.0.0.13 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:49:36] Unknown Attack (Anomaly) | 192.168.1.243 → 10.0.0.18 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:49:37] Unknown Attack (Anomaly) | 192.168.1.59 → 10.0.0.4 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:49:38] Unknown Attack (Anomaly) | 192.168.1.89 → 10.0.0.9 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:49:39] Unknown Attack (Anomaly) | 192.168.1.79 → 10.0.0.44 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:49:41] Unknown Attack (Anomaly) | 192.168.1.56 → 10.0.0.21 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:49:42] Unknown Attack (Anomaly) | 192.168.1.92 → 10.0.0.5 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:49:43] Unknown Attack (Anomaly) | 192.168.1.213 → 10.0.0.34 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:49:45] Unknown Attack (Anomaly) | 192.168.1.157 → 10.0.0.40 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:49:46] Unknown Attack (Anomaly) | 192.168.1.201 → 10.0.0.30 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:49:48] Unknown Attack (Anomaly) | 192.168.1.133 → 10.0.0.37 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:49:49] Unknown Attack (Anomaly) | 192.168.1.11 → 10.0.0.7 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:49:51] Unknown Attack (Anomaly) | 192.168.1.37 → 10.0.0.15 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:49:52] Unknown Attack (Anomaly) | 192.168.1.163 → 10.0.0.28 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:49:53] Unknown Attack (Anomaly) | 192.168.1.186 → 10.0.0.15 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:49:55] Unknown Attack (Anomaly) | 192.168.1.97 → 10.0.0.49 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:49:56] Unknown Attack (Anomaly) | 192.168.1.6 → 10.0.0.48 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:49:58] Unknown Attack (Anomaly) | 192.168.1.254 → 10.0.0.40 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:49:59] Unknown Attack (Anomaly) | 192.168.1.55 → 10.0.0.34 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:50:00] Unknown Attack (Anomaly) | 192.168.1.58 → 10.0.0.41 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:50:02] Unknown Attack (Anomaly) | 192.168.1.185 → 10.0.0.24 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:50:03] Unknown Attack (Anomaly) | 192.168.1.152 → 10.0.0.50 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:50:04] Unknown Attack (Anomaly) | 192.168.1.128 → 10.0.0.36 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:50:06] Unknown Attack (Anomaly) | 192.168.1.91 → 10.0.0.26 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:50:08] Unknown Attack (Anomaly) | 192.168.1.78 → 10.0.0.1 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:50:08] Unknown Attack (Anomaly) | 192.168.1.108 → 10.0.0.32 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:50:09] Unknown Attack (Anomaly) | 192.168.1.166 → 10.0.0.25 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:50:10] Unknown Attack (Anomaly) | 192.168.1.94 → 10.0.0.13 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:50:12] Unknown Attack (Anomaly) | 192.168.1.186 → 10.0.0.8 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:50:13] Unknown Attack (Anomaly) | 192.168.1.170 → 10.0.0.26 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:50:14] Unknown Attack (Anomaly) | 192.168.1.94 → 10.0.0.30 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:50:15] Unknown Attack (Anomaly) | 192.168.1.165 → 10.0.0.41 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:50:16] Unknown Attack (Anomaly) | 192.168.1.41 → 10.0.0.31 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:50:17] Unknown Attack (Anomaly) | 192.168.1.92 → 10.0.0.23 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:50:18] Unknown Attack (Anomaly) | 192.168.1.34 → 10.0.0.26 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:50:19] Unknown Attack (Anomaly) | 192.168.1.8 → 10.0.0.22 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:50:21] Unknown Attack (Anomaly) | 192.168.1.100 → 10.0.0.9 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:50:23] Unknown Attack (Anomaly) | 192.168.1.233 → 10.0.0.29 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:50:24] Unknown Attack (Anomaly) | 192.168.1.88 → 10.0.0.3 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:50:25] Unknown Attack (Anomaly) | 192.168.1.203 → 10.0.0.31 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:50:26] Unknown Attack (Anomaly) | 192.168.1.249 → 10.0.0.28 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:50:28] Unknown Attack (Anomaly) | 192.168.1.195 → 10.0.0.11 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:50:28] Unknown Attack (Anomaly) | 192.168.1.227 → 10.0.0.36 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:50:29] Unknown Attack (Anomaly) | 192.168.1.35 → 10.0.0.4 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:50:31] Unknown Attack (Anomaly) | 192.168.1.180 → 10.0.0.9 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:50:33] Unknown Attack (Anomaly) | 192.168.1.169 → 10.0.0.11 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:50:34] Unknown Attack (Anomaly) | 192.168.1.68 → 10.0.0.19 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:50:35] Unknown Attack (Anomaly) | 192.168.1.60 → 10.0.0.16 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:54:54] Unknown Attack (Anomaly) | 192.168.29.40 → 192.168.29.191 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:54:54] Unknown Attack (Anomaly) | 192.168.29.40 → 192.168.29.191 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:55:00] Unknown Attack (Anomaly) | 192.168.29.40 → 192.168.29.191 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:55:01] Unknown Attack (Anomaly) | 192.168.29.40 → 192.168.29.191 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:55:03] Unknown Attack (Anomaly) | 192.168.29.40 → 104.208.16.92 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:55:09] Unknown Attack (Anomaly) | 192.168.29.40 → 192.168.29.191 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:55:10] Unknown Attack (Anomaly) | 192.168.29.40 → 192.168.29.191 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:55:14] Unknown Attack (Anomaly) | 192.168.29.40 → 204.79.197.203 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:55:21] Unknown Attack (Anomaly) | 192.168.29.40 → 192.168.29.191 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:55:22] Unknown Attack (Anomaly) | 192.168.29.40 → 192.168.29.191 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:55:27] Unknown Attack (Anomaly) | 192.168.29.40 → 34.54.84.110 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:55:31] Unknown Attack (Anomaly) | 192.168.29.40 → 192.168.29.191 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:55:32] Unknown Attack (Anomaly) | 192.168.29.40 → 192.168.29.191 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:55:34] Unknown Attack (Anomaly) | 192.168.29.191 → 192.168.29.40 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:55:43] Unknown Attack (Anomaly) | 192.168.29.40 → 192.168.29.191 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:55:44] Unknown Attack (Anomaly) | 192.168.29.40 → 192.168.29.191 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:55:51] Unknown Attack (Anomaly) | 192.168.29.40 → 103.180.115.15 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:55:55] Unknown Attack (Anomaly) | 192.168.29.40 → 192.168.29.191 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:55:56] Unknown Attack (Anomaly) | 192.168.29.40 → 192.168.29.191 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:56:01] Unknown Attack (Anomaly) | 192.168.29.40 → 192.168.29.191 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:56:02] Unknown Attack (Anomaly) | 192.168.29.40 → 192.168.29.191 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:56:03] Unknown Attack (Anomaly) | 192.168.29.40 → 192.168.29.191 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:56:04] Unknown Attack (Anomaly) | 192.168.29.40 → 192.168.29.191 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:56:10] Unknown Attack (Anomaly) | 192.168.29.40 → 192.168.29.191 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:56:10] Unknown Attack (Anomaly) | 192.168.29.40 → 192.168.29.191 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:56:13] Unknown Attack (Anomaly) | 192.168.29.191 → 192.168.29.40 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:56:13] Unknown Attack (Anomaly) | 192.168.29.191 → 192.168.29.40 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:56:18] Unknown Attack (Anomaly) | 192.168.29.40 → 108.158.57.74 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:56:23] Unknown Attack (Anomaly) | 192.168.29.40 → 104.18.22.112 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:56:27] Unknown Attack (Anomaly) | 192.168.29.40 → 207.246.124.187 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:56:28] Unknown Attack (Anomaly) | 192.168.29.40 → 103.180.115.8 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:56:28] Unknown Attack (Anomaly) | 192.168.29.40 → 18.161.229.117 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:56:28] Unknown Attack (Anomaly) | 192.168.29.40 → 18.244.164.14 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:56:29] Unknown Attack (Anomaly) | 18.244.164.14 → 192.168.29.40 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:56:30] Unknown Attack (Anomaly) | 192.168.29.40 → 195.42.142.115 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:56:30] Unknown Attack (Anomaly) | 192.168.29.40 → 69.48.156.116 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:56:36] Unknown Attack (Anomaly) | 192.168.29.40 → 192.168.29.191 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:56:42] Unknown Attack (Anomaly) | 192.168.29.40 → 192.168.29.191 | conf=0.6 | Isolation Forest (override)
[2026-04-04 11:56:42] Unknown Attack (Anomaly) | 192.168.29.40 → 192.168.29.191 | conf=0.6 | Isolation Forest (override)
[2026-04-04 12:18:54] Unknown Anomaly | 192.168.1.185 → 10.0.0.13 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:18:55] Unknown Anomaly | 192.168.1.70 → 10.0.0.25 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:18:56] Unknown Anomaly | 192.168.1.82 → 10.0.0.15 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:18:56] Unknown Anomaly | 192.168.1.195 → 10.0.0.41 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:18:58] Unknown Anomaly | 192.168.1.205 → 10.0.0.22 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:18:58] Unknown Anomaly | 192.168.1.91 → 10.0.0.15 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:18:59] Unknown Anomaly | 192.168.1.170 → 10.0.0.30 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:19:00] Unknown Anomaly | 192.168.1.80 → 10.0.0.22 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:19:02] Unknown Anomaly | 192.168.1.221 → 10.0.0.36 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:19:03] Unknown Anomaly | 192.168.1.79 → 10.0.0.23 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:19:04] Unknown Anomaly | 192.168.1.215 → 10.0.0.25 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:19:05] Unknown Anomaly | 192.168.1.221 → 10.0.0.13 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:19:06] Unknown Anomaly | 192.168.1.67 → 10.0.0.2 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:19:07] Unknown Anomaly | 192.168.1.169 → 10.0.0.38 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:19:08] Unknown Anomaly | 192.168.1.191 → 10.0.0.16 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:19:08] Unknown Anomaly | 192.168.1.84 → 10.0.0.32 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:19:09] Unknown Anomaly | 192.168.1.9 → 10.0.0.7 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:19:10] Unknown Anomaly | 192.168.1.144 → 10.0.0.16 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:19:11] Unknown Anomaly | 192.168.1.137 → 10.0.0.15 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:19:12] Unknown Anomaly | 192.168.1.116 → 10.0.0.22 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:19:13] Unknown Anomaly | 192.168.1.52 → 10.0.0.14 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:19:14] Unknown Anomaly | 192.168.1.131 → 10.0.0.34 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:19:15] Unknown Anomaly | 192.168.1.102 → 10.0.0.28 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:19:15] Unknown Anomaly | 192.168.1.179 → 10.0.0.16 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:19:17] Unknown Anomaly | 192.168.1.26 → 10.0.0.29 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:19:17] Unknown Anomaly | 192.168.1.205 → 10.0.0.13 | conf=0.65 | Isolation Forest (override) | action=Logged
[2026-04-04 12:19:18] Unknown Anomaly | 192.168.1.43 → 10.0.0.17 | conf=0.65 | Isolation Forest (override) | action=Logged
